id,match_id,home_team,away_team,winner_team,loser_team,created_at,updated_at
1,75,,,,,2026-05-17 11:54:05.984061+00,2026-05-17 11:54:05.984061+00
5,73,,,,,2026-05-17 11:54:38.983876+00,2026-05-17 11:54:38.983876+00
58,74,,,,,2026-05-17 15:22:59.139427+00,2026-05-17 15:22:59.139427+00
74,89,,,,,2026-05-17 15:33:30.468014+00,2026-05-17 15:33:30.468014+00
76,90,,,,,2026-05-17 15:33:34.686524+00,2026-05-17 15:33:34.686524+00
77,88,,,,,2026-05-17 15:35:44.114345+00,2026-05-17 15:35:44.114345+00
78,95,,,,,2026-05-17 15:35:44.220741+00,2026-05-17 15:35:44.220741+00
80,97,Mexico,,,,2026-05-17 15:35:46.961362+00,2026-05-17 15:35:46.961362+00
83,91,,,,,2026-05-17 15:35:51.696177+00,2026-05-17 15:35:51.696177+00
84,99,,,,,2026-05-17 15:35:51.789792+00,2026-05-17 15:35:51.789792+00
85,92,,,,,2026-05-17 15:35:53.451875+00,2026-05-17 15:35:53.451875+00
87,93,,,,,2026-05-17 15:35:55.752052+00,2026-05-17 15:35:55.752052+00
88,98,,,,,2026-05-17 15:35:55.847129+00,2026-05-17 15:35:55.847129+00
89,94,,,,,2026-05-17 15:35:59.671777+00,2026-05-17 15:35:59.671777+00
92,100,,,,,2026-05-17 15:36:03.95031+00,2026-05-17 15:36:03.95031+00
93,96,,,,,2026-05-17 15:36:07.368858+00,2026-05-17 15:36:07.368858+00
96,101,,,,,2026-05-17 15:36:09.922835+00,2026-05-17 15:36:09.922835+00
100,102,,,,,2026-05-17 15:36:15.109655+00,2026-05-17 15:36:15.109655+00
104,104,,,,,2026-05-17 15:36:29.266999+00,2026-05-17 15:36:29.266999+00
105,103,,,,,2026-05-17 15:36:29.357098+00,2026-05-17 15:36:29.357098+00
330,76,,,,,2026-05-17 16:10:07.273991+00,2026-05-17 16:10:07.273991+00
714,77,,,,,2026-05-18 06:39:32.736666+00,2026-05-18 06:39:32.736666+00
716,78,,,,,2026-05-18 06:39:59.693594+00,2026-05-18 06:39:59.693594+00
718,79,,,,,2026-05-18 06:40:09.024104+00,2026-05-18 06:40:09.024104+00
720,80,,,,,2026-05-18 06:40:15.29506+00,2026-05-18 06:40:15.29506+00
722,81,,,,,2026-05-18 06:40:25.145335+00,2026-05-18 06:40:25.145335+00
724,82,,,,,2026-05-18 06:40:32.668767+00,2026-05-18 06:40:32.668767+00
726,83,,,,,2026-05-18 06:40:39.628705+00,2026-05-18 06:40:39.628705+00
728,84,,,,,2026-05-18 06:40:50.158935+00,2026-05-18 06:40:50.158935+00
730,85,,,,,2026-05-18 06:41:00.565284+00,2026-05-18 06:41:00.565284+00
732,86,,,,,2026-05-18 06:41:09.816386+00,2026-05-18 06:41:09.816386+00
734,87,,,,,2026-05-18 06:41:18.056263+00,2026-05-18 06:41:18.056263+00
