id,created_at,match_id,home_score,away_score
48,2026-05-11 19:07:45.904817+00,1,2,1
50,2026-05-11 19:07:48.32495+00,2,2,1
54,2026-05-11 19:07:52.49424+00,3,4,1
56,2026-05-12 16:42:44.123095+00,5,1,3
59,2026-05-14 12:57:39.824064+00,4,2,1
61,2026-05-17 12:02:19.997573+00,73,,
63,2026-05-17 15:53:33.295255+00,102,,
77,2026-05-17 16:09:49.020358+00,74,,
79,2026-05-17 16:10:00.67947+00,75,,
81,2026-05-17 16:10:12.753668+00,76,,
93,2026-05-17 16:49:31.891142+00,90,,
130,2026-05-17 20:55:29.143392+00,101,,
138,2026-05-17 20:56:39.471056+00,100,,
140,2026-05-17 20:56:50.689777+00,99,,
142,2026-05-17 20:57:03.768648+00,98,,
144,2026-05-17 20:57:12.322581+00,97,,
154,2026-05-17 21:12:00.218241+00,89,,
158,2026-05-17 21:12:14.835355+00,91,,
160,2026-05-17 21:12:24.102354+00,92,,
162,2026-05-17 21:12:31.711549+00,93,,
164,2026-05-17 21:12:47.749978+00,94,,
166,2026-05-17 21:12:54.932271+00,95,,
168,2026-05-17 21:13:10.058377+00,96,,
182,2026-05-17 21:13:43.416179+00,103,,
184,2026-05-17 21:13:59.234573+00,104,,
293,2026-05-18 06:00:37.876244+00,6,2,1
349,2026-05-18 06:41:39.897341+00,77,,
351,2026-05-18 06:41:41.887055+00,78,,
353,2026-05-18 06:41:44.382546+00,79,,
355,2026-05-18 06:41:47.325595+00,80,,
357,2026-05-18 06:41:49.689927+00,81,,
359,2026-05-18 06:41:51.272005+00,82,,
361,2026-05-18 06:41:54.23964+00,83,,
363,2026-05-18 06:41:56.570895+00,84,,
365,2026-05-18 06:41:59.85458+00,85,,
367,2026-05-18 06:42:02.261054+00,86,,
369,2026-05-18 06:42:05.34015+00,87,,
371,2026-05-18 06:42:07.937949+00,88,,
486,2026-05-18 11:55:41.210197+00,7,1,2
